dataset,nmse_bayes_search,p_bayes_search
colleges_usnews.csv,0.8265944722646559,"{'C': 3.8747448695829947, 'epsilon': 0.013792751704674993, 'gamma': 0.026700348551928654, 'kernel': 'rbf'}"
poly_1_2_0.2.csv,12.347776257915974,"{'C': 5.044484201162265, 'epsilon': 0.010042477021270783, 'gamma': 0.007537179745133154, 'kernel': 'rbf'}"
boston_corrected.csv,0.3483048494984338,"{'C': 23.444535136815272, 'epsilon': 0.00390625, 'gamma': 0.08473448487070284, 'kernel': 'rbf'}"
dataset_2176_mbagrade.csv,6.753203534297668,"{'C': 1881.8919382136698, 'epsilon': 0.14735248092783462, 'gamma': 0.010407205242413554, 'kernel': 'rbf'}"
HappinessRank_2015.csv,0.006531884483996799,"{'C': 31.353074803768916, 'epsilon': 0.012568657231553723, 'gamma': 0.18306758534959192, 'kernel': 'rbf'}"
humandevel.csv,0.2184079687711404,"{'C': 175.4670553058237, 'epsilon': 0.061714401566205564, 'gamma': 0.04097453155747066, 'kernel': 'rbf'}"
poly_3_10_0.1.csv,0.02049696019410011,"{'C': 931.7282995753469, 'epsilon': 0.12591751693675307, 'gamma': 0.03733368235970331, 'kernel': 'rbf'}"
arsenic-male-bladder.csv,117.00073845810365,"{'C': 0.03125, 'epsilon': 0.00390625, 'gamma': 8.0, 'kernel': 'rbf'}"
poly_3_5_0.2.csv,0.07609473346037968,"{'C': 7122.280439039075, 'epsilon': 0.004982936999124012, 'gamma': 0.0073205632306188135, 'kernel': 'rbf'}"
sin_1_5_0.0.csv,0.045622170575372344,"{'C': 965.7034827045345, 'epsilon': 0.008817965488591633, 'gamma': 7.314562282330979, 'kernel': 'rbf'}"
poly_1_5_0.2.csv,0.37578615779823055,"{'C': 1.2691283763011512, 'epsilon': 0.044532743747942805, 'gamma': 0.14781656039964092, 'kernel': 'rbf'}"
rabe_176.csv,5.037993570416469,"{'C': 32768.0, 'epsilon': 0.01080509667028332, 'gamma': 0.006534023035530364, 'kernel': 'rbf'}"
analcatdata_gviolence.csv,0.020393181974119785,"{'C': 267.35468714794905, 'epsilon': 0.028189332062869804, 'gamma': 0.011755277352122897, 'kernel': 'rbf'}"
sin_3_10_0.2.csv,8.292470469603296,"{'C': 32768.0, 'epsilon': 1.050943312373385, 'gamma': 3.0517578125e-05, 'kernel': 'rbf'}"
MercuryinBass.csv,4.84,"{'C': 0.05310984445859012, 'epsilon': 0.6783266081998024, 'gamma': 0.04584931179763126, 'kernel': 'rbf'}"
poly_5_5_0.0.csv,0.0004039998793915521,"{'C': 7598.329123477792, 'epsilon': 0.008751342422814504, 'gamma': 0.060809281839233974, 'kernel': 'rbf'}"
poly_5_1_0.2.csv,0.25881505115788234,"{'C': 28.899291303690053, 'epsilon': 0.0811546433571568, 'gamma': 1.3474613476303763, 'kernel': 'rbf'}"
poly_5_2_0.2.csv,0.09945291934163408,"{'C': 32768.0, 'epsilon': 0.00390625, 'gamma': 0.13697810495996096, 'kernel': 'rbf'}"
sin_1_2_0.2.csv,0.04211628958955884,"{'C': 32768.0, 'epsilon': 0.00390625, 'gamma': 0.9754976438141351, 'kernel': 'rbf'}"
poly_1_1_0.1.csv,0.11347148852023099,"{'C': 32768.0, 'epsilon': 0.056156996631588664, 'gamma': 0.00037570992730761845, 'kernel': 'rbf'}"
sin_1_2_0.1.csv,0.010123749486848601,"{'C': 59.58341366344668, 'epsilon': 0.004869730657495717, 'gamma': 2.884519666634563, 'kernel': 'rbf'}"
disclosure_x_bias.csv,31.12684932376233,"{'C': 2876.6902615181057, 'epsilon': 0.06749424302124739, 'gamma': 0.005060133681865826, 'kernel': 'rbf'}"
poly_1_2_0.0.csv,8.459623726698357e-05,"{'C': 1.4371091026706215, 'epsilon': 0.00390625, 'gamma': 0.017490212378830326, 'kernel': 'rbf'}"
kdd_coil_1.csv,2.004262879751025,"{'C': 6.258089663248661, 'epsilon': 0.05508831032899976, 'gamma': 0.02428143904309398, 'kernel': 'rbf'}"
nasa_numeric.csv,1.4560950332320526,"{'C': 209.06542186378613, 'epsilon': 0.004364869200667575, 'gamma': 0.0014176292266936147, 'kernel': 'rbf'}"
sin_1_2_0.0.csv,7.10479027613737e-06,"{'C': 4427.487742343582, 'epsilon': 0.00390625, 'gamma': 1.4729229698815351, 'kernel': 'rbf'}"
diggle_table_a1.csv,9.612427799621036,"{'C': 0.06744956757440254, 'epsilon': 0.00390625, 'gamma': 6.723666279296885, 'kernel': 'rbf'}"
kdd_coil_2.csv,2.9572374506319155,"{'C': 58.27234293128352, 'epsilon': 0.030131421125915804, 'gamma': 0.0016288762701448412, 'kernel': 'rbf'}"
sin_3_10_0.1.csv,16.810990662640123,"{'C': 6.096099136838529, 'epsilon': 0.6021571785538833, 'gamma': 0.06522919589022416, 'kernel': 'rbf'}"
poly_3_10_0.0.csv,0.003523795879485369,"{'C': 12766.019977113368, 'epsilon': 0.0040297674561257865, 'gamma': 0.0023180394786265915, 'kernel': 'rbf'}"
sin_1_10_0.2.csv,0.5271305522641492,"{'C': 32768.0, 'epsilon': 0.004223052260987831, 'gamma': 2.226731947794437, 'kernel': 'rbf'}"
meta.csv,4.41295843589299,"{'C': 0.364056327152221, 'epsilon': 0.004233763130444654, 'gamma': 0.003366046169469944, 'kernel': 'rbf'}"
visualizing_ethanol.csv,5.509680463907803,"{'C': 0.5594599422524745, 'epsilon': 1.405153723448763, 'gamma': 0.0002601315837517197, 'kernel': 'rbf'}"
