dataset,nmse_random_search,p_random_search
Brainsize.csv,2.6507382662746,"{'C': 9008.30668566842, 'epsilon': 0.29614577397092101, 'gamma': 0.10703518154811942, 'kernel': 'rbf'}"
ERA.csv,1.5827176821439142,"{'C': 17504.529269141596, 'epsilon': 0.15025865894982027, 'gamma': 0.58944711813739659, 'kernel': 'rbf'}"
ESL.csv,0.1058270966605623,"{'C': 20158.100641218931, 'epsilon': 0.035985436551693173, 'gamma': 0.0092993297409007525, 'kernel': 'rbf'}"
HappinessRank_2015.csv,0.0007875188930231975,"{'C': 8276.336052975963, 'epsilon': 0.0060632327951339882, 'gamma': 0.029005127705069356, 'kernel': 'rbf'}"
LEV.csv,0.7771823562409582,"{'C': 12645.053835135892, 'epsilon': 0.053347084105191511, 'gamma': 6.443206795409349, 'kernel': 'rbf'}"
MercuryinBass.csv,4.84,"{'C': 4404.6906764151063, 'epsilon': 1.8175721140389645, 'gamma': 7.709420666651619, 'kernel': 'rbf'}"
SMSA.csv,0.1695752739777926,"{'C': 18920.850138594251, 'epsilon': 0.022020961162143804, 'gamma': 0.28129231431702006, 'kernel': 'rbf'}"
SWD.csv,1.045374697359947,"{'C': 21770.105358395929, 'epsilon': 0.015654623357997943, 'gamma': 0.014154170296388102, 'kernel': 'rbf'}"
analcatdata_galapagos.csv,1.000007847950232,"{'C': 3326.6881127479173, 'epsilon': 0.99992655227430416, 'gamma': 5.4001321547567231, 'kernel': 'rbf'}"
analcatdata_gviolence.csv,0.23274915607224925,"{'C': 4247.3881016463238, 'epsilon': 0.17139162414282527, 'gamma': 0.20109638367373694, 'kernel': 'rbf'}"
analcatdata_michiganacc.csv,1.02601505896241,"{'C': 30665.93653984907, 'epsilon': 0.035962261664834072, 'gamma': 0.010562489933485075, 'kernel': 'rbf'}"
analcatdata_negotiation.csv,2.363033298274593,"{'C': 0.89207406224522856, 'epsilon': 0.16854916431526323, 'gamma': 2.570343916109481, 'kernel': 'rbf'}"
analcatdata_olympic2000.csv,0.24893928615279562,"{'C': 30011.533821814999, 'epsilon': 0.0043318788602557667, 'gamma': 3.6330782332454037, 'kernel': 'rbf'}"
analcatdata_runshoes.csv,0.7136590718896058,"{'C': 28397.126333490975, 'epsilon': 0.084211620126977804, 'gamma': 7.9891301998483941, 'kernel': 'rbf'}"
analcatdata_vehicle.csv,1.0317148218718117,"{'C': 20863.660404607486, 'epsilon': 0.080023165018001885, 'gamma': 3.5853916115451661, 'kernel': 'rbf'}"
arsenic-female-bladder.csv,0.8956920552293037,"{'C': 12930.000185846002, 'epsilon': 0.12830725665116649, 'gamma': 7.9926125203683434, 'kernel': 'rbf'}"
arsenic-male-bladder.csv,0.17682333659957272,"{'C': 8723.2189542326014, 'epsilon': 0.048067511878913116, 'gamma': 7.9168747113425155, 'kernel': 'rbf'}"
arsenic-male-lung.csv,0.2051438503681674,"{'C': 30429.978954337559, 'epsilon': 0.034284201508469003, 'gamma': 7.9851867549813944, 'kernel': 'rbf'}"
auto93.csv,0.5001266028232758,"{'C': 10032.165935852205, 'epsilon': 0.013105812007951911, 'gamma': 0.88623120254486487, 'kernel': 'rbf'}"
balloon.csv,0.3369055490979734,"{'C': 7709.1513822348024, 'epsilon': 0.055377668480322884, 'gamma': 1.6904027165734323, 'kernel': 'rbf'}"
baseball.csv,0.38670825744870463,"{'C': 11987.509111469371, 'epsilon': 0.0939265720867688, 'gamma': 0.38345725170593958, 'kernel': 'rbf'}"
benzo32.csv,2.014787602455584,"{'C': 1170.7643030572981, 'epsilon': 0.18388902940910024, 'gamma': 1.086248951150961, 'kernel': 'rbf'}"
bodyfat.csv,0.0320892255596051,"{'C': 3722.1913541377908, 'epsilon': 0.02948725191087842, 'gamma': 0.83690063514302171, 'kernel': 'rbf'}"
boston.csv,0.33960137727217365,"{'C': 14297.11274368337, 'epsilon': 0.092175007277515153, 'gamma': 0.58958479511386219, 'kernel': 'rbf'}"
boston_corrected.csv,0.4909292109972298,"{'C': 6471.1049432448999, 'epsilon': 0.055512740793983051, 'gamma': 0.01571569608753709, 'kernel': 'rbf'}"
chatfield_4.csv,0.6178368902295274,"{'C': 27079.697661217171, 'epsilon': 0.09064330751259897, 'gamma': 0.60558318047391957, 'kernel': 'rbf'}"
chscase_geyser1.csv,0.3114928075941331,"{'C': 15262.897756514772, 'epsilon': 0.13439293160010335, 'gamma': 0.13680024227509779, 'kernel': 'rbf'}"
chscase_vine1.csv,0.5975907714212333,"{'C': 11222.312731002869, 'epsilon': 0.059469873645362714, 'gamma': 0.41491056227107137, 'kernel': 'rbf'}"
cocomo_numeric.csv,1.2253245818673588,"{'C': 30650.174959044009, 'epsilon': 0.018090542641370444, 'gamma': 0.29874032406736362, 'kernel': 'rbf'}"
colleges_usnews.csv,1.3751537603304735,"{'C': 12532.134146197121, 'epsilon': 0.17758106353438019, 'gamma': 0.91604446394193051, 'kernel': 'rbf'}"
cps_85_wages.csv,2.2520943130991173,"{'C': 24390.035831726043, 'epsilon': 0.19289044906488662, 'gamma': 3.7704746837054133, 'kernel': 'rbf'}"
cpu.csv,0.011191890227601035,"{'C': 25434.611663685504, 'epsilon': 0.01145641262818331, 'gamma': 0.23328160543691201, 'kernel': 'rbf'}"
cpu.with.vendor.csv,0.040379647389262294,"{'C': 27901.577308823682, 'epsilon': 0.019196266735849621, 'gamma': 0.88833478739824567, 'kernel': 'rbf'}"
dataset_2176_mbagrade.csv,5.404981964821354,"{'C': 13522.34117096382, 'epsilon': 0.12675252840240958, 'gamma': 0.35115557513986051, 'kernel': 'rbf'}"
